cue,constant1,timestamp,stimulus_coherence,response_time,response,constant2
2.0,30.0,592452.51141825,65.0,0.5620770000386983,1.0,1.0
2.0,30.0,592453.543430458,80.0,0.682356083067134,1.0,1.0
2.0,30.0,592454.697420583,95.0,0.9140231249621138,2.0,1.0
2.0,30.0,592455.606429708,95.0,0.9091253749793395,2.0,1.0
2.0,30.0,592456.610422625,85.0,1.0006022920133546,2.0,1.0
2.0,30.0,592457.42141375,100.0,0.893466499983333,1.0,1.0
2.0,30.0,592458.245437291,90.0,0.7935090829851106,1.0,1.0
2.0,30.0,592458.879414541,60.0,0.5056867079110816,1.0,1.0
2.0,30.0,592460.123397041,95.0,0.8320021249819547,1.0,1.0
2.0,30.0,592461.115411458,95.0,0.9062785829883069,2.0,1.0
2.0,30.0,592461.824389041,80.0,0.7027545000892133,1.0,1.0
2.0,30.0,592462.953393208,95.0,0.914175207959488,2.0,1.0
2.0,30.0,592463.815394,100.0,0.8594877920113504,1.0,1.0
2.0,30.0,592464.657378791,90.0,0.7802402500528842,1.0,1.0
2.0,30.0,592465.858391625,95.0,0.8068304170155898,1.0,1.0
2.0,30.0,592466.685373166,80.0,0.7093383329920471,1.0,1.0
2.0,30.0,592468.133386958,60.0,1.236876167007722,2.0,1.0
2.0,30.0,592468.770378041,90.0,0.9519169999985024,2.0,1.0
2.0,30.0,592469.301386083,70.0,0.5783627079799771,1.0,1.0
2.0,30.0,592470.253384541,70.0,0.6172411249717698,1.0,1.0
2.0,30.0,592471.280370708,85.0,0.7187409999314696,1.0,1.0
2.0,30.0,592472.474370416,85.0,0.9921035000588745,2.0,1.0
2.0,30.0,592473.430375416,85.0,1.0250293329590932,2.0,1.0
2.0,30.0,592474.214365416,100.0,0.8869047500193119,1.0,1.0
2.0,30.0,592475.222360333,90.0,0.9785023329313844,2.0,1.0
2.0,30.0,592476.261356875,75.0,1.0956763749709353,2.0,1.0
2.0,30.0,592477.052363416,90.0,0.9667354999110103,2.0,1.0
2.0,30.0,592478.043354708,80.0,1.0370601250324398,2.0,1.0
2.0,30.0,592478.919369708,85.0,0.9967666669981554,2.0,1.0
2.0,30.0,592479.893361333,80.0,1.0473563328851014,2.0,1.0
2.0,30.0,592480.544352541,90.0,0.7753363329684362,1.0,1.0
2.0,30.0,592481.611336458,95.0,0.9301567079965025,2.0,1.0
2.0,30.0,592482.284356458,80.0,0.6854804999893531,1.0,1.0
2.0,30.0,592483.352342208,95.0,0.836711083073169,1.0,1.0
2.0,30.0,592484.273340125,95.0,0.8461856669746339,1.0,1.0
